id_n,restaurant_name,restaurant_yelp_price,restaurant_yelp_pricelevel,restaurant_yelp_cuisine,restaurant_main_cuisine,restaurant_address,restaurant_year_opened,restaurant_age,restaurant_yelp_av_rating,menu_year,menu_n_dishes,menu_descr_length,menu_descr_size,menu_craft_auth,menu_nat_auth,menu_avg_price,menu_min_price,menu_descr_length_abs,menu_descr_size_abs,menu_craft_auth_abs,menu_nat_auth_abs,reviewer_experience,reviewer_local,dc,michelin_rank,restaurant_star,guide_dummy,menu_year2017,best_out_dc,control_1,trend_dc,trend_boston,price_matched,priorstanding,priorstanding_vs_control1,priorstanding_vs_control2
132,Eatbar,$$,2,"Bars, American (New), Burgers",Bars,415 8th St SE,2016,2,4.385,2017,35,8.31000042,0.0,0.0,0.059999999,16.75,15.0,291.0,0.0,0.0,2.0,147.0,0.625,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
133,Espita Mezcaleria,$$,2,"Mexican, Bars",Mexican,1250 9th St NW,2016,2,3.687,2016,46,11.64999962,0.07,0.0,0.150000006,23.0,19.0,536.0,3.0,0.0,7.0,141.0,0.619,1,2,0.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
133,Espita Mezcaleria,$$,2,"Mexican, Bars",Mexican,1250 9th St NW,2016,2,3.687,2017,21,17.80999947,0.0,0.0,0.140000001,22.6,17.0,374.0,0.0,0.0,3.0,141.0,0.619,1,2,0.0,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
134,Estadio,$$$,3,"Spanish, Tapas/Small Plates",Spanish,1520 14th St NW,2010,8,3.996,2016,83,9.729999542,0.0,0.079999998,0.07,14.83,11.0,808.0,0.0,7.0,6.0,115.0,0.3,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
134,Estadio,$$$,3,"Spanish, Tapas/Small Plates",Spanish,1520 14th St NW,2010,8,3.996,2017,77,7.78000021,0.01,0.129999995,0.039999999,14.83,11.0,599.0,1.0,10.0,3.0,115.0,0.3,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
135,Ethiopic,$$,2,Ethiopian,Ethiopian,401 H St NE,2009,9,4.023,2016,5,24.20000076,0.0,0.400000006,0.0,15.8,7.5,121.0,0.0,2.0,0.0,76.0,0.2,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
135,Ethiopic,$$,2,Ethiopian,Ethiopian,401 H St NE,2009,9,4.023,2017,5,24.20000076,0.0,0.400000006,0.0,15.8,7.5,121.0,0.0,2.0,0.0,76.0,0.2,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
136,Fiola,$$$$,4,Italian,Italian,601 Pennsylvania Ave NW,2011,7,4.069,2016,19,18.57999992,0.159999996,0.050000001,0.25999999,22.8,16.0,353.0,3.0,1.0,5.0,124.0,0.313,1,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
136,Fiola,$$$$,4,Italian,Italian,601 Pennsylvania Ave NW,2011,7,4.069,2017,35,14.02999973,0.0,0.090000004,0.230000004,31.2,28.0,491.0,0.0,3.0,8.0,124.0,0.313,1,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
138,Garrison,$$$,3,"American (New), Breakfast & Brunch",American (New),524 8th St SE,2015,3,3.595,2016,21,4.289999962,0.100000001,0.0,0.140000001,26.8,23.0,90.0,2.0,0.0,3.0,68.0,0.575,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
138,Garrison,$$$,3,"American (New), Breakfast & Brunch",American (New),524 8th St SE,2015,3,3.595,2017,22,11.31999969,0.0,0.050000001,0.180000007,27.4,25.0,249.0,0.0,1.0,4.0,68.0,0.575,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
139,Ghibellina,$$,2,"Italian, Cocktail Bars, Pizza",Italian,1610 14th St NW,2013,5,3.797,2016,51,13.03999996,0.0,0.079999998,0.059999999,27.83,23.0,665.0,0.0,4.0,3.0,132.0,0.453,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
139,Ghibellina,$$,2,"Italian, Cocktail Bars, Pizza",Italian,1610 14th St NW,2013,5,3.797,2017,43,12.21000004,0.0,0.07,0.090000004,27.0,25.0,525.0,0.0,3.0,4.0,132.0,0.453,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
140,Hank??s Oyster Bar,$$,2,"Seafood, Lounges",Seafood,633 Pennsylvania Ave SE,2006,12,3.844,2016,47,8.659999847,0.0,0.039999999,0.090000004,24.5,23.0,407.0,0.0,2.0,4.0,85.0,0.386,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
140,Hank??s Oyster Bar,$$,2,"Seafood, Lounges",Seafood,633 Pennsylvania Ave SE,2006,12,3.844,2017,49,9.529999733,0.0,0.119999997,0.079999998,28.67,28.0,467.0,0.0,6.0,4.0,85.0,0.386,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
141,Indigo,$$,2,Indian,Indian,243 K St NE,2013,5,4.253,2016,44,3.319999933,0.0,0.0,0.0,,,146.0,0.0,0.0,0.0,88.0,0.409,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,Indigo,$$,2,Indian,Indian,243 K St NE,2013,5,4.253,2017,50,17.76000023,0.0,0.0,0.0,,,888.0,0.0,0.0,0.0,88.0,0.409,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
142,Indique,$$,2,"Indian, Pakistani, Bars",Indian,3512-14 Connecticut Ave NW,2005,13,3.786,2016,55,16.84000015,0.050000001,0.039999999,0.0,15.45,12.0,926.0,3.0,2.0,0.0,60.0,0.54,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
142,Indique,$$,2,"Indian, Pakistani, Bars",Indian,3512-14 Connecticut Ave NW,2005,13,3.786,2017,55,17.64999962,0.050000001,0.039999999,0.0,15.2,12.0,971.0,3.0,2.0,0.0,60.0,0.54,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
143,Iron Gate,$$$,3,"American (New), Greek",American (New),1734 N St NW,2013,5,3.912,2016,15,10.39999962,0.0,0.0,0.07,17.2,13.0,156.0,0.0,0.0,1.0,106.0,0.341,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
143,Iron Gate,$$$,3,"American (New), Greek",American (New),1734 N St NW,2013,5,3.912,2017,15,10.47000027,0.0,0.0,0.07,17.2,13.0,157.0,0.0,0.0,1.0,106.0,0.341,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
144,Izakaya Seki,$$$,3,Japanese,Japanese,1117 V St NW,2012,6,4.057,2016,25,5.639999866,0.0,0.039999999,0.0,14.81,9.5,141.0,0.0,1.0,0.0,235.0,0.415,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
144,Izakaya Seki,$$$,3,Japanese,Japanese,1117 V St NW,2012,6,4.057,2017,35,6.260000229,0.0,0.029999999,0.0,13.69,9.0,219.0,0.0,1.0,0.0,235.0,0.415,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
145,Jack Rose Dining Saloon,$$,2,"Bars, American (Traditional)",Bars,2007 18th St NW,2011,7,3.577,2016,26,10.27000046,0.0,0.0,0.189999998,29.33,25.0,267.0,0.0,0.0,5.0,121.0,0.204,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
145,Jack Rose Dining Saloon,$$,2,"Bars, American (Traditional)",Bars,2007 18th St NW,2011,7,3.577,2017,23,13.35000038,0.090000004,0.039999999,0.129999995,24.33,15.0,307.0,2.0,1.0,3.0,121.0,0.204,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
146,Jaleo,$$$,3,"Spanish, Tapas Bars",Spanish,480 7th St NW,2005,13,3.647,2016,87,18.12999916,0.01,0.150000006,0.02,14.25,8.5,1577.0,1.0,13.0,2.0,87.0,0.199,1,3,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
146,Jaleo,$$$,3,"Spanish, Tapas Bars",Spanish,480 7th St NW,2005,13,3.647,2017,86,20.87000084,0.02,0.140000001,0.029999999,13.17,8.5,1795.0,2.0,12.0,3.0,87.0,0.199,1,3,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
147,Kafe Leopold,$$,2,"American (New), Austrian, Modern European",American (New),3315 Cady's Aly NW,2006,12,3.691,2016,82,14.64999962,0.0,0.07,0.150000006,20.56,15.0,1201.0,0.0,6.0,12.0,65.0,0.24,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,Kafe Leopold,$$,2,"American (New), Austrian, Modern European",American (New),3315 Cady's Aly NW,2006,12,3.691,2017,40,13.14999962,0.0,0.079999998,0.150000006,21.28,17.0,526.0,0.0,3.0,6.0,65.0,0.24,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
148,Kapnos,$$$,3,"Greek, Breakfast & Brunch, Tapas/Small Plates",Greek,2201 14th St NW,2013,5,4.5,2016,51,10.93999958,0.02,0.0,0.059999999,10.22,9.0,558.0,1.0,0.0,3.0,126.0,0.373,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
148,Kapnos,$$$,3,"Greek, Breakfast & Brunch, Tapas/Small Plates",Greek,2201 14th St NW,2013,5,4.5,2017,43,7.050000191,0.0,0.0,0.02,12.0,11.0,303.0,0.0,0.0,1.0,126.0,0.373,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150,Kinship,$$$$,4,"American (New), Desserts, Diners",American (New),1015 7th St NW,2015,3,4.198,2016,23,13.96000004,0.0,0.349999994,0.039999999,19.6,12.0,321.0,0.0,8.0,1.0,184.0,0.424,1,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150,Kinship,$$$$,4,"American (New), Desserts, Diners",American (New),1015 7th St NW,2015,3,4.198,2017,27,13.10999966,0.039999999,0.219999999,0.039999999,20.0,14.0,354.0,1.0,6.0,1.0,184.0,0.424,1,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
152,Kyirisan,$$$,3,"French, Chinese, Bars",French,1924 8th St NW,2016,2,4.13,2016,15,19.53000069,0.0,0.330000013,0.0,17.2,13.0,293.0,0.0,5.0,0.0,106.0,0.482,1,3,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
152,Kyirisan,$$$,3,"French, Chinese, Bars",French,1924 8th St NW,2016,2,4.13,2017,13,14.38000011,0.0,0.379999995,0.0,18.0,10.0,187.0,0.0,5.0,0.0,106.0,0.482,1,3,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
153,La Chaumi̬re,$$$,3,French,French,2813 M St NW,2006,12,3.649,2016,31,13.42000008,0.100000001,0.129999995,0.029999999,26.27,19.0,416.0,3.0,4.0,1.0,90.0,0.111,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
153,La Chaumi̬re,$$$,3,French,French,2813 M St NW,2006,12,3.649,2017,31,11.97000027,0.100000001,0.100000001,0.029999999,26.27,19.0,371.0,3.0,3.0,1.0,90.0,0.111,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
154,Lapis,$$,2,"Afghan, Cocktail Bars, Desserts",French,1847 Columbia Rd NW,2015,3,4.179,2016,40,15.80000019,0.0,0.200000003,0.0,10.8,10.0,632.0,0.0,8.0,0.0,84.0,0.573,1,3,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
154,Lapis,$$,2,"Afghan, Cocktail Bars, Desserts",French,1847 Columbia Rd NW,2015,3,4.179,2017,46,12.35000038,0.0,0.239999995,0.0,10.8,10.0,568.0,0.0,11.0,0.0,84.0,0.573,1,3,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
155,Le Chat Noir,$$,2,"French, Creperies",French,4907 Wisconsin Ave NW,2005,13,3.596,2016,39,12.07999992,0.050000001,0.150000006,0.0,21.64,14.95,471.0,2.0,6.0,0.0,55.0,0.364,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
155,Le Chat Noir,$$,2,"French, Creperies",French,4907 Wisconsin Ave NW,2005,13,3.596,2017,58,11.88000011,0.02,0.189999998,0.050000001,22.7,14.95,689.0,1.0,11.0,3.0,55.0,0.364,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
156,Le Diplomate,$$$,3,"Brasseries, French, Cafes",Brasseries,1601 14th St NW,2013,5,4.214,2016,59,10.06999969,0.02,0.07,0.02,25.66,13.0,594.0,1.0,4.0,1.0,99.0,0.355,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
156,Le Diplomate,$$$,3,"Brasseries, French, Cafes",Brasseries,1601 14th St NW,2013,5,4.214,2017,59,10.14000034,0.02,0.07,0.02,25.12,13.0,598.0,1.0,4.0,1.0,99.0,0.355,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
157,Little Serow,$$$,3,Thai,Thai,1511 17th St NW,2011,7,4.141,2016,7,10.56999969,0.0,0.0,0.0,24.5,22.0,74.0,0.0,0.0,0.0,144.0,0.358,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
157,Little Serow,$$$,3,Thai,Thai,1511 17th St NW,2011,7,4.141,2017,7,11.14000034,0.0,0.0,0.0,25.38,23.0,78.0,0.0,0.0,0.0,144.0,0.358,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
158,Lupo Verde,$$$,3,"Italian, Bars, Pizza",Italian,1401 T St NW,2014,4,3.634,2016,37,13.61999989,0.029999999,0.079999998,0.0,16.89,15.0,504.0,1.0,3.0,0.0,129.0,0.425,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
158,Lupo Verde,$$$,3,"Italian, Bars, Pizza",Italian,1401 T St NW,2014,4,3.634,2017,23,12.22000027,0.0,0.129999995,0.039999999,20.8,20.0,281.0,0.0,3.0,1.0,129.0,0.425,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
159,Maketto,$$,2,"Cafes, Cambodian, Taiwanese",Cafes,1351 H St NE,2015,3,4.036,2016,13,6.079999924,0.0,0.079999998,0.0,15.1,6.0,79.0,0.0,1.0,0.0,137.0,0.413,1,3,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
159,Maketto,$$,2,"Cafes, Cambodian, Taiwanese",Cafes,1351 H St NE,2015,3,4.036,2017,18,8.829999924,0.0,0.170000002,0.109999999,16.0,7.0,159.0,0.0,3.0,2.0,137.0,0.413,1,3,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
160,Makoto Restaurant,$$$$,4,Japanese,Japanese,4822 MacArthur Blvd NW,2006,12,4.277,2016,25,14.39999962,0.0,0.039999999,0.039999999,16.79,5.0,360.0,0.0,1.0,1.0,297.0,0.188,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
160,Makoto Restaurant,$$$$,4,Japanese,Japanese,4822 MacArthur Blvd NW,2006,12,4.277,2017,25,14.35999966,0.0,0.039999999,0.039999999,17.14,5.0,359.0,0.0,1.0,1.0,297.0,0.188,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
161,Mandu,,2,Korean,Korean,,2006,12,3.619,2016,37,14.14000034,0.029999999,0.140000001,0.0,21.0,14.0,523.0,1.0,5.0,0.0,,,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
161,Mandu,,2,Korean,Korean,,2006,12,3.619,2017,38,13.84000015,0.029999999,0.129999995,0.0,21.0,14.0,526.0,1.0,5.0,0.0,,,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
162,Marcel??s by Robert Wiedmaier,$$$$,4,"French, Belgian",French,2401 Pennsylvania Ave NW,2006,12,4.265,2016,24,9.880000114,0.0,0.170000002,0.039999999,,,237.0,0.0,4.0,1.0,78.0,0.278,1,2,0.0,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
162,Marcel??s by Robert Wiedmaier,$$$$,4,"French, Belgian",French,2401 Pennsylvania Ave NW,2006,12,4.265,2017,17,16.23999977,0.0,0.239999995,0.059999999,,,276.0,0.0,4.0,1.0,78.0,0.278,1,2,0.0,1,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
163,Masseria,$$$$,4,"Italian, Cocktail Bars",Italian,1340 4th St NE,2015,3,4.0,2016,41,15.17000008,0.07,0.02,0.0,19.07,15.5,622.0,3.0,1.0,0.0,71.0,0.434,1,4,1.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
163,Masseria,$$$$,4,"Italian, Cocktail Bars",Italian,1340 4th St NE,2015,3,4.0,2017,41,15.05000019,0.07,0.02,0.0,25.64,21.5,617.0,3.0,1.0,0.0,71.0,0.434,1,4,1.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
166,Mintwood Place,$$$,3,"American (New), French, Bars",American (New),1813 Columbia Rd NW,2012,6,3.889,2016,36,8.529999733,0.0,0.079999998,0.0,30.0,21.0,307.0,0.0,3.0,0.0,123.0,0.463,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
166,Mintwood Place,$$$,3,"American (New), French, Bars",American (New),1813 Columbia Rd NW,2012,6,3.889,2017,43,8.090000153,0.0,0.050000001,0.0,30.0,19.0,348.0,0.0,2.0,0.0,123.0,0.463,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
167,Momofuku CCDC,$$,2,"American (New), Bars",American (New),1090 I St NW,2015,3,3.5,2016,28,5.429999828,0.0,0.0,0.0,16.0,15.0,152.0,0.0,0.0,0.0,109.0,0.363,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
167,Momofuku CCDC,$$,2,"American (New), Bars",American (New),1090 I St NW,2015,3,3.5,2017,37,5.699999809,0.0,0.0,0.029999999,15.71,14.0,211.0,0.0,0.0,1.0,109.0,0.363,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
168,Nazca Mochica,$$,2,"Peruvian, Lounges",Peruvian,1633 P St NW,2015,3,3.993,2016,21,30.52000046,0.050000001,0.189999998,0.0,21.0,15.0,641.0,1.0,4.0,0.0,79.0,0.37,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
168,Nazca Mochica,$$,2,"Peruvian, Lounges",Peruvian,1633 P St NW,2015,3,3.993,2017,22,21.90999985,0.050000001,0.319999993,0.0,22.11,19.0,482.0,1.0,7.0,0.0,79.0,0.37,1,2,0.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
169,Obelisk,$$$$,4,Italian,Italian,2029 P St NW,2006,12,4.228,2016,31,7.550000191,0.0,0.0,0.029999999,,,234.0,0.0,0.0,1.0,462.0,0.357,1,2,0.0,1,0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
